Id,ParentId,Type,Name,PositionX,PositionY,PositionZ,RotationW,RotationX,RotationY,RotationZ,IconFilePath,GlbFilePath,WrlFilePath
75e8b12a-6693-4aff-aba8-cc3ea713e270,9820a076-f72c-4c0b-8a1a-818e29f1ed04,Any,75e8b12a,-15.7017018,2446.975928,-1876.477696,0.19,-0.97,0.1,0.09,res://assets/icon/icon.svg,res://sample/car.glb,res://sample/kamon.wrl
5b282939-2339-4215-80b1-2802c1d0fa4b,9820a076-f72c-4c0b-8a1a-818e29f1ed04,Any,5b282939,-2228.920369,1989.585621,2248.559567,0.72,0.25,-0.62,0.1,res://assets/icon/icon.svg,res://sample/car.glb,res://sample/kamon.wrl
14ebb6b9-4dc6-4a2d-b7fd-7f3730f95c90,9820a076-f72c-4c0b-8a1a-818e29f1ed04,Any,14ebb6b9,-2220.812281,2490.793272,1815.700814,-0.54,0.61,0.56,-0.1,res://assets/icon/icon.svg,res://sample/car.glb,res://sample/kamon.wrl
2c4fb4fa-2045-4906-9d69-07ea6f93b9d5,a954ddae-d15a-4643-a536-efe9e567d96d,Any,2c4fb4fa,661.6624731,1633.128862,1332.959431,0.05,-0.12,0.98,0.14,res://assets/icon/icon.svg,res://sample/car.glb,res://sample/kamon.wrl
81759a38-3622-40c2-8886-e57a3ed0f9a1,2c4fb4fa-2045-4906-9d69-07ea6f93b9d5,Any,81759a38,2099.129193,-295.1725388,-1054.172897,0.81,-0.52,0.12,0.23,res://assets/icon/icon.svg,res://sample/car.glb,res://sample/kamon.wrl
70b94563-91ec-4546-9301-df808071c152,2c4fb4fa-2045-4906-9d69-07ea6f93b9d5,Any,70b94563,-2430.193998,1091.122237,966.4080445,-0.33,0.44,-0.83,0.05,res://assets/icon/icon.svg,res://sample/car.glb,res://sample/kamon.wrl
bcb01a04-7cdb-4f98-8ef6-738b5fe054ab,2c4fb4fa-2045-4906-9d69-07ea6f93b9d5,Any,bcb01a04,2159.395716,1715.665934,-2271.932145,0.25,0.86,0.43,-0.05,res://assets/icon/icon.svg,res://sample/car.glb,res://sample/kamon.wrl
048c6e7c-c9d9-4104-8571-53713097ac2a,2c4fb4fa-2045-4906-9d69-07ea6f93b9d5,Any,048c6e7c,110.371637,1240.545724,292.4763077,0.91,-0.09,0.4,0.04,res://assets/icon/icon.svg,res://sample/car.glb,res://sample/kamon.wrl
414af6b1-828a-4271-ac46-06d73d0dfb48,2c4fb4fa-2045-4906-9d69-07ea6f93b9d5,Any,414af6b1,990.9469679,-289.4038407,507.5995694,-0.62,0.77,0.04,0.12,res://assets/icon/icon.svg,res://sample/car.glb,res://sample/kamon.wrl
aab9f7c4-9339-4601-91e1-8fbde00b072c,2c4fb4fa-2045-4906-9d69-07ea6f93b9d5,Any,aab9f7c4,-476.1294007,-1302.559466,-1961.568805,0.44,0.02,-0.89,0.12,res://assets/icon/icon.svg,res://sample/car.glb,res://sample/kamon.wrl
ddf375bb-dd68-4cfd-b8a7-112c6462669d,2c4fb4fa-2045-4906-9d69-07ea6f93b9d5,Any,ddf375bb,-1914.203649,1990.503906,793.8675101,0.73,0.67,0.01,0.12,res://assets/icon/icon.svg,res://sample/car.glb,res://sample/kamon.wrl
ff76421c-6ba7-4335-801c-3c8fd6684a7b,00000000-0000-0000-0000-000000000001,Any,ff76421c,610.6201772,-1863.850484,1615.422019,-0.15,0.98,0.11,0.03,res://assets/icon/icon.svg,res://sample/car.glb,res://sample/kamon.wrl
02ddf0e2-b355-492d-aede-c14c83d92705,ff76421c-6ba7-4335-801c-3c8fd6684a7b,Any,02ddf0e2,-2015.676081,-1138.347035,-603.5205402,0.57,-0.63,0.52,0.1,res://assets/icon/icon.svg,res://sample/car.glb,res://sample/kamon.wrl
d2ab4cb5-914b-4ae2-a830-81be9616f3a2,02ddf0e2-b355-492d-aede-c14c83d92705,Any,d2ab4cb5,-520.2221939,-1118.927859,698.9459335,0.02,0.41,0.9,-0.15,res://assets/icon/icon.svg,res://sample/car.glb,res://sample/kamon.wrl
084cdcb3-51dc-4c3d-8cb7-6e615f2a0060,d2ab4cb5-914b-4ae2-a830-81be9616f3a2,Any,084cdcb3,2063.778166,-478.4932144,1273.383669,0.88,0.09,-0.46,0.07,res://assets/icon/icon.svg,res://sample/car.glb,res://sample/kamon.wrl
6da8e10e-f9da-4366-91b4-48e049830982,084cdcb3-51dc-4c3d-8cb7-6e615f2a0060,Any,6da8e10e,2362.476962,-1699.374777,-721.5477633,-0.77,0.23,0.59,0.04,res://assets/icon/icon.svg,res://sample/car.glb,res://sample/kamon.wrl
bf138455-be68-41a2-99b1-6bf08de1893d,084cdcb3-51dc-4c3d-8cb7-6e615f2a0060,Any,bf138455,1033.382596,-2228.182378,-1366.625914,0.39,0.91,0.12,-0.03,res://assets/icon/icon.svg,res://sample/car.glb,res://sample/kamon.wrl
181fa24f-2274-4415-b05b-dd2542cbf900,084cdcb3-51dc-4c3d-8cb7-6e615f2a0060,Any,181fa24f,-1048.014897,1550.312497,-2174.969314,0.51,-0.84,0.17,0.09,res://assets/icon/icon.svg,res://sample/car.glb,res://sample/kamon.wrl
680a5b36-c288-4a60-9fe0-69ae39bfc387,084cdcb3-51dc-4c3d-8cb7-6e615f2a0060,Any,680a5b36,-278.9435747,281.2890586,-2087.485167,-0.12,0.03,0.99,0.05,res://assets/icon/icon.svg,res://sample/car.glb,res://sample/kamon.wrl
62bf6caf-5c5c-4136-b9f3-ed3dc05b4794,084cdcb3-51dc-4c3d-8cb7-6e615f2a0060,Any,62bf6caf,-183.7711887,1618.179463,1030.366401,0.69,0.22,0.68,0.11,res://assets/icon/icon.svg,res://sample/car.glb,res://sample/kamon.wrl
38dbbbff-cc02-4bc5-814f-246bc17bae19,084cdcb3-51dc-4c3d-8cb7-6e615f2a0060,Any,38dbbbff,645.0933389,1849.577048,2375.174482,-0.44,0.89,0.11,0.03,res://assets/icon/icon.svg,res://sample/car.glb,res://sample/kamon.wrl
2b3b97b5-9052-4595-a58c-b62280ed3b42,084cdcb3-51dc-4c3d-8cb7-6e615f2a0060,Any,2b3b97b5,1743.69178,2178.967899,2373.033996,0.33,-0.92,0.18,0.04,res://assets/icon/icon.svg,res://sample/car.glb,res://sample/kamon.wrl
d64d06f9-6dc2-45dd-a771-974912800363,084cdcb3-51dc-4c3d-8cb7-6e615f2a0060,Any,d64d06f9,1056.547209,-1416.751725,1545.067608,0.92,0.12,-0.36,0.03,res://assets/icon/icon.svg,res://sample/car.glb,res://sample/kamon.wrl
a3882493-deb5-4758-8660-3f9883669cf0,084cdcb3-51dc-4c3d-8cb7-6e615f2a0060,Any,a3882493,1085.5308,-835.9054338,4.194627297,-0.58,0.51,0.63,0.05,res://assets/icon/icon.svg,res://sample/car.glb,res://sample/kamon.wrl
936283c5-8178-4329-8cc3-2bee8e58523c,d2ab4cb5-914b-4ae2-a830-81be9616f3a2,Any,936283c5,-1562.366298,-509.9164462,-1124.115043,0.11,-0.77,0.62,0.09,res://assets/icon/icon.svg,res://sample/car.glb,res://sample/kamon.wrl
60f2034e-53a7-4141-9f4c-b4ff0ecab1dd,936283c5-8178-4329-8cc3-2bee8e58523c,Any,60f2034e,-1057.097596,-1340.735506,573.6049207,0.74,0.48,0.46,0.07,res://assets/icon/icon.svg,res://sample/car.glb,res://sample/kamon.wrl
26926d6b-45c8-4647-8ea5-b1167ff1dffe,936283c5-8178-4329-8cc3-2bee8e58523c,Any,26926d6b,-2093.63424,1338.977549,472.3846666,-0.31,0.95,0.02,0.03,res://assets/icon/icon.svg,res://sample/car.glb,res://sample/kamon.wrl
9ec7599a-782d-4773-a075-9551f1c95990,936283c5-8178-4329-8cc3-2bee8e58523c,Any,9ec7599a,-909.6414652,-860.3018785,174.3086237,0.63,-0.72,0.28,0.09,res://assets/icon/icon.svg,res://sample/car.glb,res://sample/kamon.wrl
9e7a60cf-cf96-41a9-bdc1-7e9fab72cad8,936283c5-8178-4329-8cc3-2bee8e58523c,Any,9e7a60cf,85.36795391,-959.6151249,2361.193021,0.15,0.12,0.98,0.04,res://assets/icon/icon.svg,res://sample/car.glb,res://sample/kamon.wrl
0c48a500-5037-4515-9025-56a5665e4274,936283c5-8178-4329-8cc3-2bee8e58523c,Any,0c48a500,-667.4473583,-1040.990407,-2051.683176,0.82,0.33,-0.45,0.05,res://assets/icon/icon.svg,res://sample/car.glb,res://sample/kamon.wrl
